Unnamed: 0,store_id_in_org,store_no,store_name,store_address,store_type,short_code_prefix,open_status,x_axis,y_axis,city_id,dist_id,baidu_lat,baidu_lng,precise,confidence,comprehension
11,24.0,20.0,上海金钟店,上海市长宁区金钟路408号,Community,C,2,121.3641,31.22021,310100,310105,31.22600800632976,121.37076323463559,1,80,100
12,25.0,21.0,上海桂平店,上海市徐汇区桂平路317号-40,Community,C,2,121.4064,31.16021,310100,310104,31.16613621481916,121.41295039492783,1,80,99
13,26.0,22.0,上海苗圃店,上海市浦东新区栖山路215号-1,Community,C,2,121.5471,31.243890000000004,310100,310115,31.25044737237235,121.55398476782507,1,80,99
14,28.0,83.0,上海华林店,上海市闵行区华林路229弄34号,Community,C,3,121.3563,31.13819,310100,310112,31.143748840452545,121.36311193092894,1,80,100
15,29.0,91.0,上海梅川店,上海市普陀区梅川路299-301号,Community,C,2,121.3971,31.239040000000006,310100,310107,31.244825699267196,121.40370516756835,1,80,99
16,35.0,98.0,上海石泉店,上海市普陀区石泉路436-440号底层,Community,C,2,121.41799999999999,31.24743,310100,310107,31.253550557129948,121.42444387706342,1,80,96
17,39.0,99.0,上海九亭店,九亭镇连富路1号,Comprehensive,,1,,,310100,310117,31.12520628170827,121.329056878893,1,80,100
18,50.0,113.0,上海连富路店,上海市松江区九亭镇连富路一号,Comprehensive,C,2,121.3222,31.1186,310100,310117,31.12520628170827,121.329056878893,1,80,100
19,51.0,114.0,上海军工路店,上海杨浦区军工路1488号,Comprehensive,C,2,121.5463,31.31223,310100,310110,31.318080437966536,121.55255171272297,1,80,100
20,52.0,115.0,上海望园南路店,上海市奉贤区望园南路1296-1302号,Community,C,2,121.4896,30.9119,310100,310120,30.918062464471724,121.49650633763336,1,80,99
